,20,25,30,35,40,45,50,55,60,65,70,75,80
50,1.036498072,1.053409833,1.104009707,1.148853012,1.202128361,1.273991944,1.360563482,1.46913919,1.562911192,1.705972666,1.801324742,1.918598984,2.025530965
40,1.055296036,1.102652896,1.164602113,1.245745577,1.329003514,1.444542394,1.566944762,1.73719524,1.85343425,1.999269582,2.200339293,2.385138652,2.536114535
30,1.099344168,1.184004119,1.289805284,1.396729185,1.54902317,1.710257668,1.902484372,2.122284033,2.331184907,2.616217579,2.832399743,3.184551608,3.276344771
20,1.200792544,1.316918147,1.542363084,1.770857261,1.968650159,2.244991204,2.502950357,2.830294815,3.106937926,3.451141894,3.743575022,4.049977793,4.270885769
18,1.230197368,1.363107745,1.607876406,1.81251062,2.08198139,2.329319954,2.66096158,2.962034747,3.277827925,3.524794546,3.929706177,4.229124785,4.477840572
16,1.228002542,1.404285587,1.683917748,1.907729394,2.195324521,2.441331656,2.811492602,3.188751118,3.448158549,3.7342457,4.124631822,4.413169161,4.647443202
14,1.213251901,1.388636743,1.746541293,2.007618669,2.292113339,2.585736287,2.940193261,3.237815698,3.580993634,3.843603067,4.279238424,4.497854267,4.798266185
12,1.141601227,1.36622903,1.741090682,1.960357925,2.332169613,2.576608969,2.996931284,3.196172865,3.638027827,3.868233385,4.345070904,4.558797693,4.839230731
10,0.99732972,1.260023892,1.666099872,1.836138433,2.256140328,2.374707008,2.94109556,2.999097335,3.575492569,3.588599474,4.285079155,4.26200951,4.77351017
8,0.778506633,0.918184659,1.447363833,1.386492612,2.011476946,1.820389223,2.673584857,2.331910804,3.305731197,2.860600877,3.978986981,3.468840942,4.469842325
6,0.536027926,0.442653101,1.067009778,0.677124313,1.527948981,0.905555103,2.072183192,1.176028726,2.611129808,1.48039558,3.169569258,1.822827863,3.621068837
4,0.264763721,0.089132302,0.47502109,0.132222231,0.653837035,0.17147146,0.863684487,0.223191466,1.087924048,0.281046499,1.355910507,0.345462659,1.574292528
2,0.005341374,0.00617719,0.005585496,0.008232449,0.006476258,0.010147029,0.007572709,0.012852522,0.008292403,0.015853322,0.014638933,0.019103043,0.017133457