distance,spectra_overlap,sca_abs,fe
50,51.75262,0.023390797,1.087991296
40,51.75262,0.023390797,1.147296744
30,51.75262,0.023390797,1.277690773
20,51.75262,0.023390797,1.605855893
18,51.75262,0.023390797,1.719286935
16,51.75262,0.023390797,1.80717766
14,51.75262,0.023390797,1.896312721
12,51.75262,0.023390797,1.913015424
10,51.75262,0.023390797,1.809325658
8,51.75262,0.023390797,1.542680959
6,51.75262,0.023390797,1.167131126
4,51.75262,0.023390797,0.632716454
2,51.75262,0.023390797,0.013796074
50,50.67554,0.067997336,1.179465836
40,50.67554,0.067997336,1.303288453
30,50.67554,0.067997336,1.566548046
20,50.67554,0.067997336,2.235938637
18,50.67554,0.067997336,2.480664438
16,50.67554,0.067997336,2.75029734
14,50.67554,0.067997336,3.080255392
12,50.67554,0.067997336,3.442121364
10,50.67554,0.067997336,3.716887159
8,50.67554,0.067997336,3.672059144
6,50.67554,0.067997336,3.031185943
4,50.67554,0.067997336,1.507632662
2,50.67554,0.067997336,0.034268212
50,53.04311,0.149267567,1.292011519
40,53.04311,0.149267567,1.482608366
30,53.04311,0.149267567,1.895304375
20,53.04311,0.149267567,2.956000545
18,53.04311,0.149267567,3.332661505
16,53.04311,0.149267567,3.820607301
14,53.04311,0.149267567,4.400672769
12,53.04311,0.149267567,4.956258379
10,53.04311,0.149267567,5.469839202
8,53.04311,0.149267567,5.617580875
6,53.04311,0.149267567,5.044790221
4,53.04311,0.149267567,2.838640532
2,53.04311,0.149267567,0.044322696
50,54.34993,0.190152781,1.449056467
40,54.34993,0.190152781,1.77119141
30,54.34993,0.190152781,2.477471921
20,54.34993,0.190152781,4.475982321
18,54.34993,0.190152781,5.221375156
16,54.34993,0.190152781,6.184861525
14,54.34993,0.190152781,7.368958037
12,54.34993,0.190152781,8.709869329
10,54.34993,0.190152781,9.988126622
8,54.34993,0.190152781,10.67853143
6,54.34993,0.190152781,9.860766457
4,54.34993,0.190152781,5.379998686
2,54.34993,0.190152781,0.078263016
50,53.44149,0.260786268,1.60238902
40,53.44149,0.260786268,2.098057977
30,53.44149,0.260786268,3.210133656
20,53.44149,0.260786268,6.455774779
18,53.44149,0.260786268,7.740952547
16,53.44149,0.260786268,9.387207653
14,53.44149,0.260786268,11.44736412
12,53.44149,0.260786268,13.82908948
10,53.44149,0.260786268,16.15412268
8,53.44149,0.260786268,17.67510942
6,53.44149,0.260786268,16.70508149
4,53.44149,0.260786268,8.967342242
2,53.44149,0.260786268,0.111504
50,54.5332,0.286971697,1.727598299
40,54.5332,0.286971697,2.35964255
30,54.5332,0.286971697,3.85931941
20,54.5332,0.286971697,8.265535812
18,54.5332,0.286971697,10.07769094
16,54.5332,0.286971697,12.30238735
14,54.5332,0.286971697,14.98335842
12,54.5332,0.286971697,18.2889643
10,54.5332,0.286971697,21.44440793
8,54.5332,0.286971697,23.69734009
6,54.5332,0.286971697,22.394264
4,54.5332,0.286971697,11.66967626
2,54.5332,0.286971697,0.125506223
50,54.24204,0.777185664,2.210765996
40,54.24204,0.777185664,3.300236379
30,54.24204,0.777185664,5.808265762
20,54.24204,0.777185664,13.1756308
18,54.24204,0.777185664,16.07638565
16,54.24204,0.777185664,19.72925572
14,54.24204,0.777185664,24.2854671
12,54.24204,0.777185664,29.57545613
10,54.24204,0.777185664,35.27091204
8,54.24204,0.777185664,39.73139596
6,54.24204,0.777185664,39.03243003
4,54.24204,0.777185664,21.16422561
2,54.24204,0.777185664,0.248410983
50,62.69458,0.833875749,2.363711739
40,62.69458,0.833875749,3.747386116
30,62.69458,0.833875749,7.254043207
20,62.69458,0.833875749,17.64106003
18,62.69458,0.833875749,21.60505552
16,62.69458,0.833875749,26.83472826
14,62.69458,0.833875749,33.02641532
12,62.69458,0.833875749,40.39768907
10,62.69458,0.833875749,48.03001421
8,62.69458,0.833875749,53.91836151
6,62.69458,0.833875749,52.23653526
4,62.69458,0.833875749,26.62118783
2,62.69458,0.833875749,0.250913923
50,62.23411,0.824519473,2.201344784
40,62.23411,0.824519473,3.680012238
30,62.23411,0.824519473,7.484805317
20,62.23411,0.824519473,19.53300805
18,62.23411,0.824519473,24.27654418
16,62.23411,0.824519473,30.4341025
14,62.23411,0.824519473,38.13307015
12,62.23411,0.824519473,47.34995081
10,62.23411,0.824519473,57.63515246
8,62.23411,0.824519473,66.8233066
6,62.23411,0.824519473,66.83977916
4,62.23411,0.824519473,35.47538639
2,62.23411,0.824519473,0.353445022
50,71.47749,1.217029566,2.387973676
40,71.47749,1.217029566,4.273881737
30,71.47749,1.217029566,9.15499896
20,71.47749,1.217029566,24.18631169
18,71.47749,1.217029566,29.91771791
16,71.47749,1.217029566,37.2426559
14,71.47749,1.217029566,45.99107972
12,71.47749,1.217029566,56.48766027
10,71.47749,1.217029566,67.63772209
8,71.47749,1.217029566,76.80611656
6,71.47749,1.217029566,75.44680903
4,71.47749,1.217029566,40.1005238
2,71.47749,1.217029566,0.558499753
50,80.33536,1.594319447,1.972288473
40,80.33536,1.594319447,3.671354125
30,80.33536,1.594319447,8.130460109
20,80.33536,1.594319447,21.27518608
18,80.33536,1.594319447,26.11391927
16,80.33536,1.594319447,32.29141256
14,80.33536,1.594319447,39.786476
12,80.33536,1.594319447,48.38627508
10,80.33536,1.594319447,57.65869674
8,80.33536,1.594319447,65.24050507
6,80.33536,1.594319447,63.70770816
4,80.33536,1.594319447,33.34815791
2,80.33536,1.594319447,0.430345394
50,89.53053,1.911343029,1.694063871
40,89.53053,1.911343029,3.364541753
30,89.53053,1.911343029,7.972393212
20,89.53053,1.911343029,21.82746413
18,89.53053,1.911343029,27.09910454
16,89.53053,1.911343029,33.60335934
14,89.53053,1.911343029,41.67769882
12,89.53053,1.911343029,51.00099053
10,89.53053,1.911343029,61.20006602
8,89.53053,1.911343029,69.51497299
6,89.53053,1.911343029,68.72470233
4,89.53053,1.911343029,36.18675747
2,89.53053,1.911343029,0.478126625
50,102.3699,2.819547207,1.50089819
40,102.3699,2.819547207,3.215488897
30,102.3699,2.819547207,8.020098838
20,102.3699,2.819547207,22.78790894
18,102.3699,2.819547207,28.40809227
16,102.3699,2.819547207,35.30109555
14,102.3699,2.819547207,43.97625353
12,102.3699,2.819547207,53.98321575
10,102.3699,2.819547207,65.46172266
8,102.3699,2.819547207,76.21139273
6,102.3699,2.819547207,77.74322539
4,102.3699,2.819547207,43.21656538
2,102.3699,2.819547207,0.621449513
